"post_id","post_date","post_date_gmt","guid__rendered","post_modified","post_modified_gmt","slug","post_status","post_type","link","post_title","post_content","content__protected","post_excerpt","excerpt__protected","post_author","featured_media","comment_status","ping_status","sticky","template","format","meta__spay_email","meta__jetpack_publicize_message","categories__-","tags__001","tags__002","tags__003","tags__004","tags__005","tags__006","tags__007","tags__008","tags__009","jetpack_featured_media_url","jetpack_shortlink","_links__|","_links__|__name","_links__|__taxonomy","_links__|__id","_links__|__count","_links__|__embeddable","_links__|__href","_links__|__templated"
"247525","2020-06-11T15:56:54","2020-06-11T20:56:54","https://fernandafamiliar.soy/?p=247525","2020-06-11T15:57:01","2020-06-11T20:57:01","se-desvanece-en-farmacia-y-ambulancia-covid-19-le-asiste","publish","post","https://fernandafamiliar.soy/noticias/nacional/se-desvanece-en-farmacia-y-ambulancia-covid-19-le-asiste/","Se desvanece en farmacia y ambulancia COVID-19 le asiste","<p>El pasado miércoles se recibió una solicitud de auxilio al sistema estatal de emergencias de Coahuila, donde se mencionó que una mujer con fuertes síntomas de COVID-19 se había desmayado a las puertas de una farmacia de Torreón.</p><p>De esta forma, se desató una intensa movilización policiaca al oriente de la ciudad; elementos de auxilio se trasladaron junto a una ambulancia para recoger a la mujer sin conocimiento. Tras el chequeo se verificó que contaba con pulso, fue introducida a la cápsula y trasladada a un hospital.</p><p>Según información publicada por <em>El Sol de La Laguna</em>, las personas que fueron testigo de lo hechos señalaron que la mujer llegó tosiendo y con dificultad para caminar, cuando se le cuestionó sobre qué buscaba se desmayó, por lo que los empleados pidieron la presencia de las autoridades de salud.</p><p>Elementos designados sanitizaron la farmacia y el lugar donde la mujer habría perdido el conocimiento, sin embargo, abría tenido contacto con varias personas.</p>","False","<p>El pasado miércoles se recibió una solicitud de auxilio al sistema estatal de emergencias de Coahuila&#8230;</p>","False","85","247526","open","open","False","","standard","","","14153","","","","","","","","","","https://fernandafamiliar.soy/wp-content/uploads/2020/06/tbel-abuseridze-eBW1nlFdZFw-unsplash-scaled.jpg","https://wp.me/p794bQ-12ol","self","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247525",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","collection","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","about","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/types/post",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","author","","","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/users/85",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","replies","","","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/comments?post=247525",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","version-history","","","","2","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247525/revisions",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","predecessor-version","","","247528","","","https://fernandafamiliar.soy/wp-json/wp/v2/posts/247525/revisions/247528",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wp:featuredmedia","","","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/media/247526",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wp:attachment","","","","","","https://fernandafamiliar.soy/wp-json/wp/v2/media?parent=247525",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","wp:term","","category","","","True","https://fernandafamiliar.soy/wp-json/wp/v2/categories?post=247525",""
